CountryShort ;Year;  ValueNumeric   ;Unit;Market_Sector;Data_source ;Date ;;;Notes:;Data until 2020 are calculated on the basis of Directive 2009/28/EC, while data for 2021 follow Directive (EU) 2018/2001.;;;;;2011-2012 average;2013-2014 average;2015-2016 average;2017-2018 average;S2005 (1);"
2011-2012";"indicative
2013-2014";"
2015-2016";"trajectory
2017-2018";2020 target;;;;;;;;
BE;2022;0,095717803;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
BG;2022;0,290516515;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
CZ;2022;0,252171239;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
DK;2022;0,410979497;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
DE;2022;0,164627521;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
EE;2022;0,608112915;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
IE;2022;0,060429026;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
EL;2022;0,335656035;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
ES;2022;0,173533098;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
FR;2022;0,249802084;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
HR;2022;0,373741579;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
IT;2022;0,190636442;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
CY;2022;0,401745869;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
LV;2022;0,615099899;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
LT;2022;0,526168571;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
LU;2022;0,126885129;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
HU;2022;0,175642964;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
MT;2022;0,401347059;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
NL;2022;0,081905052;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
AT;2022;0,348081793;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
PL;2022;0,203777803;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
PT;2022;0,444841911;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;2022;0,215884032;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
SI;2022;0,348325685;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
SK;2022;0,207268096;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
FI;2022;0,523398098;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
SE;2022;0,679309368;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
IS;2022;0,985464657;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
NO;2022;0,322140637;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
ME;2022;0,670609785;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
RS;2022;0,299013831;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
AL;2022;0,219950179;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
MK;2022;0,35046152;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
XK;2022;0,511047533;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
MD;2022;0,419028432;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
GE;2022;0,00862079;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
EU27;2022;222270,8225;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;2022;4690,124857;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
BG;2022;2094,479664;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
CZ;2022;4905,653431;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
DK;2022;5356,328997;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
DE;2022;42617,07794;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
EE;2022;1156,782342;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
IE;2022;1594,452823;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
EL;2022;3932,328289;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
ES;2022;18282,57747;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
FR;2022;29106,08239;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
HR;2022;2256,482061;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
IT;2022;22412,49862;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
CY;2022;318,12395;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
LV;2022;1825,369778;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
LT;2022;1627,520874;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
LU;2022;289,1760368;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
HU;2022;2782,334042;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
MT;2022;92,68276579;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
NL;2022;6665,531456;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
AT;2022;10456,86058;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
PL;2022;12497,65393;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
PT;2022;5991,350312;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;2022;5639,798896;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
SI;2022;1178,6713;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
SK;2022;2001,63502;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
FI;2022;10748,17794;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
SE;2022;21751,06672;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
IS;2022;2658,892227;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
NO;2022;15964,72678;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
ME;2022;371,676875;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
RS;2022;2583,398542;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
AL;2022;876,5147482;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
MK;2022;365,4355953;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
XK;2022;403,3155971;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
MD;2022;646,8111009;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
GE;2022;928,7653175;ktoe;GFEC;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
